id,name,type,ext_id,latitude,longitude
1,사당종합체육관,기존,20534,37.49284821,126.9696768
2,동작삼일수영장,기존,20559,37.48730095,126.9745083
3,남성역,기존,20178,37.48479351,126.9709102
4,사당솔밭도서관,기존,20727,37.484,126.9671
5,동작고등학교,기존,20568,37.48256382,126.9653687
6,레미안로이파크아파트,기존,20751,37.48810702,126.9730211
7,사당중학교,기존,20177,37.4866,126.9682
8,사당키움센터(KCC아파트),DRT가상,,37.4818,126.9738
9,사당종합복지관,DRT가상,,37.47701696,126.9798513
10,한옥카페R1,DRT가상,,37.4805,126.9679
11,제일아파트,DRT가상,,37.48292988,126.9695225
12,사당커뮤니티센터,DRT가상,,37.48140732,126.9701065
13,사당4동주민센터,DRT가상,,37.48148062,126.9753865
14,사당4동행정복지센터,DRT가상,,37.4887525,126.9792534
15,청소년독서실,DRT가상,,37.4804836,126.9731007
16,진흥아리엘아파트,DRT가상,,37.4804,126.9694
17,사당현대아이파크,DRT가상,,37.49160414,126.9848386
18,사당삼익그린뷰아파트(정문),DRT가상,,37.4774,126.9692
19,사당롯데캐슬샤인아파트,DRT가상,,37.49077659,126.9725136
20,남성중학교,DRT가상,,37.47904544,126.972441
